name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
503 ANG MO KIO AVENUE 5,3166,HDB,,0,,,L99,D20,560503,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,490.46915644742,0.6,0,
504 ANG MO KIO AVENUE 8,3222,HDB,,0,,,L99,D20,560504,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 8,479.49554069119,0.53,0,
505 ANG MO KIO AVENUE 8,3223,HDB,,0,,,L99,D20,560505,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 8,501.39910813824,0.54,0,
506 ANG MO KIO AVENUE 8,3224,HDB,,0,,,L99,D20,560506,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 8,479.49554069119,0.49,0,
507 ANG MO KIO AVENUE 8,3225,HDB,,0,,,L99,D20,560507,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 8,484.92939427722,0.49,0,
508 ANG MO KIO AVENUE 8,3226,HDB,,0,,,L99,D20,560508,Ang Mo Kio Avenue 8,Ang Mo Kio Avenue 8,548.96785581568,0.42,0,
163 ANG MO KIO AVENUE 4,3116,HDB,,0,,,L99,D20,560163,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,411.26254180602,1.19,0,
177 ANG MO KIO AVENUE 4,3124,HDB,,0,,,L99,D20,560177,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,459.48810850985,1,0,
176 ANG MO KIO AVENUE 4,3123,HDB,,0,,,L99,D20,560176,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,415.32794500186,1.18,0,
175 ANG MO KIO AVENUE 4,3122,HDB,,0,,,L99,D20,560175,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,449.19732441472,1.1,0,
174 ANG MO KIO AVENUE 4,3121,HDB,,0,,,L99,D20,560174,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,435.09197324415,1.08,0,
173 ANG MO KIO AVENUE 4,3120,HDB,,0,,,L99,D20,560173,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,435.40938932243,1.2,0,
172 ANG MO KIO AVENUE 4,3119,HDB,,0,,,L99,D20,560172,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,468.38257153475,1.22,0,
171 ANG MO KIO AVENUE 4,3118,HDB,,0,,,L99,D20,560171,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,417.11259754738,1.29,0,
170 ANG MO KIO AVENUE 4,3117,HDB,,0,,,L99,D20,560170,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,536.76885916016,1.27,0,
178 ANG MO KIO AVENUE 4,3125,HDB,,0,,,L99,D20,560178,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,430.52303976217,1.07,0,
162 ANG MO KIO AVENUE 4,3115,HDB,,0,,,L99,D20,560162,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,0,1.08,0,
161 ANG MO KIO AVENUE 4,3114,HDB,,0,,,L99,D20,560161,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,0,1.03,0,
160 ANG MO KIO AVENUE 4,3113,HDB,,0,,,L99,D20,560160,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,0,1.04,0,
159 ANG MO KIO AVENUE 4,3112,HDB,,0,,,L99,D20,560159,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,416.92679301375,0.98,0,
158 ANG MO KIO AVENUE 4,3111,HDB,,0,,,L99,D20,560158,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,350.06688963211,1.02,0,
157 ANG MO KIO AVENUE 4,3110,HDB,,0,,,L99,D20,560157,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,460.47194351542,0.95,0,
156 ANG MO KIO AVENUE 4,3109,HDB,,0,,,L99,D20,560156,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,424.20847268673,0.9,0,
204 ANG MO KIO AVENUE 3,3032,HDB,,0,,,L99,D20,560204,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,457.44240059457,0.7,0,
212 ANG MO KIO AVENUE 3,3036,HDB,,0,,,L99,D20,560212,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,429.84671125975,0.92,0,
211 ANG MO KIO AVENUE 3,3035,HDB,,0,,,L99,D20,560211,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,505.80081753995,0.91,0,
210 ANG MO KIO AVENUE 3,3034,HDB,,0,,,L99,D20,560210,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,505.34745447789,0.74,0,
209 ANG MO KIO AVENUE 3,3033,HDB,,0,,,L99,D20,560209,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,495.13842437755,0.73,0,
208 ANG MO KIO AVENUE 1,2860,HDB,,0,,,L99,D20,560208,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,485.62523225567,0.93,0,
207 ANG MO KIO AVENUE 1,2859,HDB,,0,,,L99,D20,560207,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,335.21460423634,0.9,0,
206 ANG MO KIO AVENUE 1,2858,HDB,,0,,,L99,D20,560206,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,0,0.78,0,
205 ANG MO KIO AVENUE 1,2857,HDB,,0,,,L99,D20,560205,Ang Mo Kio Avenue 1,"",350.27963582311,0.76,0,
155 ANG MO KIO AVENUE 4,3108,HDB,,0,,,L99,D20,560155,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,452.21571906355,0.86,0,
203 ANG MO KIO AVENUE 3,3031,HDB,,0,,,L99,D20,560203,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,0,0.66,0,
202 ANG MO KIO AVENUE 3,3030,HDB,,0,,,L99,D20,560202,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,422.91341508733,0.62,0,
201 ANG MO KIO AVENUE 3,3029,HDB,,0,,,L99,D20,560201,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,478.37699739874,0.6,0,
182 ANG MO KIO AVENUE 5,3163,HDB,,0,,,L99,D20,560182,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,437.18691936083,1.06,0,
181 ANG MO KIO AVENUE 5,3162,HDB,,0,,,L99,D20,560181,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,445.38461538462,1.03,0,
180 ANG MO KIO AVENUE 5,3161,HDB,,0,,,L99,D20,560180,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,419.42679301375,0.93,0,
179 ANG MO KIO AVENUE 5,3160,HDB,,0,,,L99,D20,560179,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,452.26031215162,1.1,0,
115 ANG MO KIO AVENUE 4,3104,HDB,,0,,,L99,D20,560115,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,0,1.36,0,
123 ANG MO KIO AVENUE 6,3188,HDB,,0,,,L99,D20,560123,Ang Mo Kio Avenue 6,Ang Mo Kio Avenue 6,0,0.54,0,
122 ANG MO KIO AVENUE 3,3019,HDB,,0,,,L99,D20,560122,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,479.76402824229,0.71,0,
121 ANG MO KIO AVENUE 3,3018,HDB,,0,,,L99,D20,560121,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,486.54124860647,0.71,0,
120 ANG MO KIO AVENUE 3,3017,HDB,,0,,,L99,D20,560120,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,475.04923820141,0.58,0,
119 ANG MO KIO AVENUE 3,3016,HDB,,0,,,L99,D20,560119,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,492.93664065403,0.58,0,
118 ANG MO KIO AVENUE 4,3107,HDB,,0,,,L99,D20,560118,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,419.07004830918,1.41,0,
117 ANG MO KIO AVENUE 4,3106,HDB,,0,,,L99,D20,560117,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,461.96581196581,1.37,0,
116 ANG MO KIO AVENUE 4,3105,HDB,,0,,,L99,D20,560116,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,527.85395763657,1.33,0,
124 ANG MO KIO AVENUE 6,3189,HDB,,0,,,L99,D20,560124,Ang Mo Kio Avenue 6,Ang Mo Kio Avenue 6,474.91081382386,0.57,0,
114 ANG MO KIO AVENUE 4,3103,HDB,,0,,,L99,D20,560114,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,432.69509476031,1.41,0,
113 ANG MO KIO AVENUE 4,3102,HDB,,0,,,L99,D20,560113,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,443.30546265329,1.49,0,
112 ANG MO KIO AVENUE 4,3101,HDB,,0,,,L99,D20,560112,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,460.05713489409,1.55,0,
111 ANG MO KIO AVENUE 4,3100,HDB,,0,,,L99,D20,560111,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,438.26365663323,1.38,0,
110 ANG MO KIO AVENUE 4,3099,HDB,,0,,,L99,D20,560110,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,447.87253808993,1.36,0,
109 ANG MO KIO AVENUE 4,3098,HDB,,0,,,L99,D20,560109,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,409.04775176514,1.33,0,
108 ANG MO KIO AVENUE 4,3097,HDB,,0,,,L99,D20,560108,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,431.1872909699,1.28,0,
213 ANG MO KIO AVENUE 3,3037,HDB,,0,,,L99,D20,560213,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,422.21989966555,0.98,0,
125 ANG MO KIO AVENUE 6,3190,HDB,,0,,,L99,D20,560125,Ang Mo Kio Avenue 6,Ang Mo Kio Avenue 6,0,0.54,0,
126 ANG MO KIO AVENUE 3,3020,HDB,,0,,,L99,D20,560126,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,500.5629877369,0.69,0,
127 ANG MO KIO AVENUE 3,3021,HDB,,0,,,L99,D20,560127,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,440.9392419175,0.69,0,
128 ANG MO KIO AVENUE 3,3022,HDB,,0,,,L99,D20,560128,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,482.68766257897,0.7,0,
129 ANG MO KIO AVENUE 3,3023,HDB,,0,,,L99,D20,560129,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,459.23262727611,0.87,0,
130 ANG MO KIO AVENUE 3,3024,HDB,,0,,,L99,D20,560130,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,483.60089186176,0.88,0,
131 ANG MO KIO AVENUE 3,3025,HDB,,0,,,L99,D20,560131,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,432.27982162765,0.89,0,
132 ANG MO KIO AVENUE 3,3026,HDB,,0,,,L99,D20,560132,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,431.33221850613,0.9,0,
133 ANG MO KIO AVENUE 3,3027,HDB,,0,,,L99,D20,560133,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,453.05741360089,0.79,0,
134 ANG MO KIO AVENUE 3,3028,HDB,,0,,,L99,D20,560134,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,412.37272389446,0.87,0,
150 ANG MO KIO AVENUE 5,3155,HDB,,0,,,L99,D20,560150,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,418.0602006689,0.67,0,
151 ANG MO KIO AVENUE 5,3156,HDB,,0,,,L99,D20,560151,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,463.1447417317,0.72,0,
152 ANG MO KIO AVENUE 5,3157,HDB,,0,,,L99,D20,560152,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,464.51133407655,0.77,0,
153 ANG MO KIO AVENUE 5,3158,HDB,,0,,,L99,D20,560153,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,439.91917502787,0.7,0,
154 ANG MO KIO AVENUE 5,3159,HDB,,0,,,L99,D20,560154,Ang Mo Kio Avenue 5,Ang Mo Kio Avenue 5,438.55351170569,0.76,0,
305 ANG MO KIO AVENUE 1,2875,HDB,,0,,,L99,D20,560305,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,419.19360832404,0.6,0,
319 ANG MO KIO AVENUE 1,2878,HDB,,0,,,L99,D20,560319,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,512.87160906726,0.61,0,
318 ANG MO KIO AVENUE 1,2877,HDB,,0,,,L99,D20,560318,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,0,0.54,0,
317 ANG MO KIO STREET 31,3262,HDB,,0,,,L99,D20,560317,Ang Mo Kio Street 31,Ang Mo Kio Street 31,452.17948717949,0.58,0,
314 ANG MO KIO AVENUE 3,3055,HDB,,0,,,L99,D20,560314,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,567.97054998142,0.43,0,
313 ANG MO KIO AVENUE 3,3054,HDB,,0,,,L99,D20,560313,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,531.96116685247,0.39,0,
312 ANG MO KIO AVENUE 3,3053,HDB,,0,,,L99,D20,560312,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,465.93738387217,0.44,0,
311 ANG MO KIO AVENUE 3,3052,HDB,,0,,,L99,D20,560311,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,347.81679672984,0.39,0,
306 ANG MO KIO AVENUE 1,2876,HDB,,0,,,L99,D20,560306,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,422.97008547009,0.64,0,
320 ANG MO KIO AVENUE 1,2879,HDB,,0,,,L99,D20,560320,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,510.32608695652,0.52,0,
304 ANG MO KIO AVENUE 1,2874,HDB,,0,,,L99,D20,560304,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,498.03232998885,0.66,0,
303 ANG MO KIO AVENUE 1,2873,HDB,,0,,,L99,D20,560303,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,476.96209587514,0.62,0,
302 ANG MO KIO AVENUE 3,3051,HDB,,0,,,L99,D20,560302,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,473.41973244147,0.55,0,
301 ANG MO KIO AVENUE 3,3050,HDB,,0,,,L99,D20,560301,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,497.69044964697,0.51,0,
259 ANG MO KIO AVENUE 2,3012,HDB,,0,,,L99,D20,560259,Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 2,412.89855072464,2.01,0,
258 ANG MO KIO AVENUE 4,3132,HDB,,0,,,L99,D20,560258,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,402.15254552211,1.44,0,
257 ANG MO KIO AVENUE 4,3131,HDB,,0,,,L99,D20,560257,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,0,1.51,0,
328 ANG MO KIO AVENUE 3,3062,HDB,,0,,,L99,D20,560328,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,497.69044964697,0.44,0,
336 ANG MO KIO AVENUE 1,2887,HDB,,0,,,L99,D20,560336,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,490.03437383872,0.76,0,
335 ANG MO KIO AVENUE 1,2886,HDB,,0,,,L99,D20,560335,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,464.51133407655,0.76,0,
334 ANG MO KIO AVENUE 1,2885,HDB,,0,,,L99,D20,560334,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,398.15217391304,0.71,0,
333 ANG MO KIO AVENUE 1,2884,HDB,,0,,,L99,D20,560333,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,459.04635823114,0.99,0,
332 ANG MO KIO AVENUE 1,2883,HDB,,0,,,L99,D20,560332,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,478.17354143441,0.96,0,
331 ANG MO KIO AVENUE 1,2882,HDB,,0,,,L99,D20,560331,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,478.17354143441,0.88,0,
330 ANG MO KIO AVENUE 1,2881,HDB,,0,,,L99,D20,560330,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,448.79970271274,0.89,0,
329 ANG MO KIO AVENUE 3,3063,HDB,,0,,,L99,D20,560329,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,519.23448532144,0.5,0,
256 ANG MO KIO AVENUE 4,3130,HDB,,0,,,L99,D20,560256,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,440.96757710888,1.51,0,
327 ANG MO KIO AVENUE 3,3061,HDB,,0,,,L99,D20,560327,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,502.43032329989,0.46,0,
326 ANG MO KIO AVENUE 3,3060,HDB,,0,,,L99,D20,560326,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,523.07971014493,0.39,0,
325 ANG MO KIO AVENUE 3,3059,HDB,,0,,,L99,D20,560325,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,483.47082868822,0.37,0,
324 ANG MO KIO AVENUE 3,3058,HDB,,0,,,L99,D20,560324,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,548.88145670754,0.34,0,
323 ANG MO KIO AVENUE 3,3057,HDB,,0,,,L99,D20,560323,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,578.52749907098,0.3,0,
322 ANG MO KIO AVENUE 3,3056,HDB,,0,,,L99,D20,560322,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,509.05332590115,0.27,0,
321 ANG MO KIO AVENUE 1,2880,HDB,,0,,,L99,D20,560321,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,521.78000743218,0.57,0,
221 ANG MO KIO AVENUE 1,2867,HDB,,0,,,L99,D20,560221,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,422.11910070606,1.18,0,
231 ANG MO KIO AVENUE 3,3041,HDB,,0,,,L99,D20,560231,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,464.51133407655,1.35,0,
230 ANG MO KIO AVENUE 3,3040,HDB,,0,,,L99,D20,560230,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,418.75325157934,1.31,0,
229 ANG MO KIO AVENUE 3,3039,HDB,,0,,,L99,D20,560229,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,418.57023411371,1.25,0,
226 ANG MO KIO AVENUE 1,2872,HDB,,0,,,L99,D20,560226,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,464.51133407655,1.25,0,
225 ANG MO KIO AVENUE 1,2871,HDB,,0,,,L99,D20,560225,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,430.52303976217,1.31,0,
224 ANG MO KIO AVENUE 1,2870,HDB,,0,,,L99,D20,560224,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,0,1.3,0,
223 ANG MO KIO AVENUE 1,2869,HDB,,0,,,L99,D20,560223,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,452.03177257525,1.36,0,
222 ANG MO KIO AVENUE 1,2868,HDB,,0,,,L99,D20,560222,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,453.58138238573,1.23,0,
232 ANG MO KIO AVENUE 3,3042,HDB,,0,,,L99,D20,560232,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,445.09847640282,1.39,0,
220 ANG MO KIO AVENUE 1,2866,HDB,,0,,,L99,D20,560220,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,409.04775176514,1.13,0,
219 ANG MO KIO AVENUE 1,2865,HDB,,0,,,L99,D20,560219,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,399.34132292828,1.11,0,
218 ANG MO KIO AVENUE 1,2864,HDB,,0,,,L99,D20,560218,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,453.18190263842,1.02,0,
217 ANG MO KIO AVENUE 1,2863,HDB,,0,,,L99,D20,560217,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,0,1.02,0,
216 ANG MO KIO AVENUE 1,2862,HDB,,0,,,L99,D20,560216,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,468.32961724266,1.01,0,
215 ANG MO KIO AVENUE 1,2861,HDB,,0,,,L99,D20,560215,Ang Mo Kio Avenue 1,Ang Mo Kio Avenue 1,453.05741360089,0.98,0,
214 ANG MO KIO AVENUE 3,3038,HDB,,0,,,L99,D20,560214,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,440.9392419175,1.01,0,
131 JURONG EAST STREET 13,7238,HDB,,0,,,L99,D22,600131,Jurong East Street 13,Jurong East Street 13,0,0.18,0,
233 ANG MO KIO AVENUE 3,3043,HDB,,0,,,L99,D20,560233,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,393.79505759941,1.46,0,
234 ANG MO KIO AVENUE 3,3044,HDB,,0,,,L99,D20,560234,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,420.62058714233,1.48,0,
235 ANG MO KIO AVENUE 3,3045,HDB,,0,,,L99,D20,560235,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,447.51672240803,1.5,0,
244 ANG MO KIO AVENUE 3,3046,HDB,,0,,,L99,D20,560244,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,0,1.67,0,
245 ANG MO KIO AVENUE 3,3047,HDB,,0,,,L99,D20,560245,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,0,1.65,0,
246 ANG MO KIO AVENUE 3,3048,HDB,,0,,,L99,D20,560246,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,227.27,1.79,0,
247 ANG MO KIO AVENUE 3,3049,HDB,,0,,,L99,D20,560247,Ang Mo Kio Avenue 3,Ang Mo Kio Avenue 3,221.91,1.75,0,
248 ANG MO KIO AVENUE 2,3009,HDB,,0,,,L99,D20,560248,Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 2,233.01,1.88,0,
249 ANG MO KIO AVENUE 2,3010,HDB,,0,,,L99,D20,560249,Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 2,212.87,1.75,0,
250 ANG MO KIO AVENUE 2,3011,HDB,,0,,,L99,D20,560250,Ang Mo Kio Avenue 2,Ang Mo Kio Avenue 2,220.81,1.76,0,
251 ANG MO KIO AVENUE 4,3126,HDB,,0,,,L99,D20,560251,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,291.26,1.76,0,
252 ANG MO KIO AVENUE 4,3127,HDB,,0,,,L99,D20,560252,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,221.91,1.71,0,
253 ANG MO KIO STREET 21,3256,HDB,,0,,,L99,D20,560253,Ang Mo Kio Street 21,Ang Mo Kio Street 21,424.11928651059,1.63,0,
254 ANG MO KIO AVENUE 4,3128,HDB,,0,,,L99,D20,560254,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,411.8348197696,1.67,0,
255 ANG MO KIO AVENUE 4,3129,HDB,,0,,,L99,D20,560255,Ang Mo Kio Avenue 4,Ang Mo Kio Avenue 4,486.1464139725,1.68,0,
316 YISHUN AVENUE 9,22692,HDB,0,0,,,L99,D27,760316,Yishun Avenue 9,316 YISHUN AVENUE 9,,0.88,0,
446 YISHUN AVENUE 11,22487,HDB,0,0,,,L99,D27,760446,Yishun Avenue 11,446 YISHUN AVENUE 11,,1.31,0,
445 YISHUN AVENUE 11,21399,HDB,0,0,,,L99,D27,760445,Yishun Avenue 11,"",,1.31,0,
443 YISHUN AVENUE 11,21927,HDB,0,0,,,L99,D27,760443,Yishun Avenue 11,443 YISHUN AVENUE 11,,1.26,0,
442 YISHUN AVENUE 11,22385,HDB,0,0,,,L99,D27,760442,Yishun Avenue 11,442 YISHUN AVENUE 11,,1.34,0,
438 YISHUN AVENUE 11,23353,HDB,0,0,,,L99,D27,760438,Yishun Avenue 11,438 Yishun Avenue 11,,1.5,0,
334D YISHUN STREET 31,22057,HDB,0,0,,,L99,D27,760334,Yishun Street 31,334D YISHUN STREET 31,,1.25,0,
318 YISHUN AVENUE 9,22699,HDB,0,0,,,L99,D27,760318,Yishun Avenue 9,318 YISHUN AVENUE 9,,1.05,0,
317 YISHUN AVENUE 9,22695,HDB,0,0,,,L99,D27,760317,Yishun Avenue 9,317 YISHUN AVENUE 9,,0.92,0,
447 YISHUN RING ROAD,22489,HDB,0,0,,,L99,D27,760447,Yishun Ring Road,447 YISHUN RING ROAD,,1.33,0,
120D CANBERRA CRESCENT,23135,HDB,0,0,,,L99,D27,754120,Canberra Crescent,120D Canberra Crescent,,1.22,0,
592C MONTREAL LINK,22354,HDB,0,0,,,L99,D27,753592,Montreal Link,592C MONTREAL LINK,,0.94,0,
590C MONTREAL LINK,23119,HDB,0,0,,,L99,D27,753590,Montreal Link,590C Montreal Link,,0.72,0,
463C SEMBAWANG DRIVE,22078,HDB,0,0,,,L99,D27,753463,SEMBAWANG DRIVE,463C SEMBAWANG DRIVE,,2.35,0,
129C CANBERRA STREET,23233,HDB,0,0,,,L99,D27,753129,Canberra Street,129C Canberra Street,,1.47,0,
128C CANBERRA STREET,23230,HDB,0,0,,,L99,D27,753128,Canberra Street,128C Canberra Street,,1.47,0,
120C CANBERRA CRESCENT,23138,HDB,0,0,,,L99,D27,753120,Canberra Crescent,120C Canberra Crescent,,1.22,0,
593B MONTREAL LINK,22357,HDB,0,0,,,L99,D27,752593,Montreal Link,593B MONTREAL LINK,,0.89,0,
448 YISHUN RING ROAD,21606,HDB,0,0,,,L99,D27,760448,Yishun Ring Road,448 YISHUN RING ROAD,,1.34,0,
449 YISHUN RING ROAD,21745,HDB,0,0,,,L99,D27,760449,Yishun Ring Road,449 YISHUN RING ROAD,,1.26,0,
450 YISHUN RING ROAD,20780,HDB,0,0,,,L99,D27,760450,Yishun Ring Road,"",,1.1,0,
451 YISHUN RING ROAD,22488,HDB,0,0,,,L99,D27,760451,Yishun Ring Road,451 YISHUN RING ROAD,,1.33,0,
452 YISHUN RING ROAD,22490,HDB,0,0,,,L99,D27,760452,Yishun Ring Road,452 YISHUN RING ROAD,,1.4,0,
453 YISHUN STREET 41,22235,HDB,0,0,,,L99,D27,760453,Yishun Street 41,453 YISHUN STREET 41,,1.42,0,
454 YISHUN STREET 41,22257,HDB,0,0,,,L99,D27,760454,Yishun Street 41,454 YISHUN STREET 41,,1.37,0,
455 YISHUN STREET 41,22258,HDB,0,0,,,L99,D27,760455,Yishun Street 41,455 YISHUN STREET 41,,1.29,0,
456 YISHUN STREET 41,22260,HDB,0,0,,,L99,D27,760456,Yishun Street 41,456 Yishun Street 41,,1.29,0,
457 YISHUN STREET 41,22259,HDB,0,0,,,L99,D27,760457,Yishun Street 41,457 YISHUN STREET 41,,1.43,0,
458 YISHUN AVENUE 11,22194,HDB,0,0,,,L99,D27,760458,Yishun Avenue 11,458 YISHUN AVENUE 11,,1.51,0,
459 YISHUN AVENUE 11,22195,HDB,0,0,,,L99,D27,760459,Yishun Avenue 11,459 YISHUN AVENUE 11,,1.53,0,
502 YISHUN STREET 51,22970,HDB,0,0,,,L99,D27,760502,Yishun Street 51,502 Yishun Street 51,,1.18,0,
504 YISHUN STREET 51,22624,HDB,0,0,,,L99,D27,760504,Yishun Street 51,504 YISHUN STREET 51,,1.23,0,
