name,id,type_code,total_units,floors,top_month,top_year,tenure,district_code,postcode,streetname,ura_key,transaction_psf,nearest_mrt_distance,enbloc,enbloc_date
707 YISHUN AVENUE 5,12509,HDB,,0,,,L99,D27,760707,Yishun Avenue 5,Yishun Avenue 5,416.69360832404,0.81,0,
708 YISHUN AVENUE 5,12510,HDB,,0,,,L99,D27,760708,Yishun Avenue 5,Yishun Avenue 5,436.77907840951,0.89,0,
709 YISHUN AVENUE 5,12511,HDB,,0,,,L99,D27,760709,Yishun Avenue 5,Yishun Avenue 5,412.705778521,0.85,0,
710 YISHUN AVENUE 5,12512,HDB,,0,,,L99,D27,760710,Yishun Avenue 5,Yishun Avenue 5,426.25789669268,0.82,0,
711 YISHUN AVENUE 5,12513,HDB,,0,,,L99,D27,760711,Yishun Avenue 5,Yishun Avenue 5,394.83463396507,0.9,0,
275 YISHUN STREET 22,12817,HDB,,0,,,L99,D27,760275,Yishun Street 22,Yishun Street 22,363.3138238573,1.01,0,
283 YISHUN AVENUE 6,12529,HDB,,0,,,L99,D27,760283,Yishun Avenue 6,Yishun Avenue 6,357.31605351171,1.2,0,
282 YISHUN AVENUE 6,12528,HDB,,0,,,L99,D27,760282,Yishun Avenue 6,Yishun Avenue 6,384.67391304348,1.17,0,
281 YISHUN STREET 22,12823,HDB,,0,,,L99,D27,760281,Yishun Street 22,Yishun Street 22,283.16146413973,1.1,0,
280 YISHUN STREET 22,12822,HDB,,0,,,L99,D27,760280,Yishun Street 22,Yishun Street 22,385.43385358603,1.04,0,
279 YISHUN STREET 22,12821,HDB,,0,,,L99,D27,760279,Yishun Street 22,Yishun Street 22,334.98420661464,1.04,0,
278 YISHUN STREET 22,12820,HDB,,0,,,L99,D27,760278,Yishun Street 22,Yishun Street 22,364.97305834262,1.01,0,
277 YISHUN STREET 22,12819,HDB,,0,,,L99,D27,760277,Yishun Street 22,Yishun Street 22,311.71125975474,0.97,0,
276 YISHUN STREET 22,12818,HDB,,0,,,L99,D27,760276,Yishun Street 22,Yishun Street 22,290.31958379784,0.98,0,
284 YISHUN AVENUE 6,12530,HDB,,0,,,L99,D27,760284,Yishun Avenue 6,Yishun Avenue 6,386.67409884801,1.22,0,
274 YISHUN STREET 22,12816,HDB,,0,,,L99,D27,760274,Yishun Street 22,Yishun Street 22,351.06373095504,0.95,0,
273 YISHUN STREET 22,12815,HDB,,0,,,L99,D27,760273,Yishun Street 22,Yishun Street 22,408.01653660349,1.06,0,
272 YISHUN STREET 22,12814,HDB,,0,,,L99,D27,760272,Yishun Street 22,Yishun Street 22,352.40849126719,1.09,0,
271 YISHUN STREET 22,12813,HDB,,0,,,L99,D27,760271,Yishun Street 22,Yishun Street 22,403.544221479,1.09,0,
270 YISHUN STREET 22,12812,HDB,,0,,,L99,D27,760270,Yishun Street 22,Yishun Street 22,324.21636937942,1.05,0,
269 YISHUN STREET 22,12811,HDB,,0,,,L99,D27,760269,Yishun Street 22,Yishun Street 22,438.38257153475,1.01,0,
268 YISHUN STREET 22,12810,HDB,,0,,,L99,D27,760268,Yishun Street 22,Yishun Street 22,378.86752136752,0.98,0,
267 YISHUN STREET 22,12809,HDB,,0,,,L99,D27,760267,Yishun Street 22,Yishun Street 22,377.4154589372,0.96,0,
285 YISHUN AVENUE 6,12531,HDB,,0,,,L99,D27,760285,Yishun Avenue 6,Yishun Avenue 6,318.37328130806,1.26,0,
286 YISHUN AVENUE 6,12532,HDB,,0,,,L99,D27,760286,Yishun Avenue 6,Yishun Avenue 6,401.73913043478,1.25,0,
287 YISHUN AVENUE 6,12533,HDB,,0,,,L99,D27,760287,Yishun Avenue 6,Yishun Avenue 6,334.98420661464,1.17,0,
288 YISHUN AVENUE 6,12534,HDB,,0,,,L99,D27,760288,Yishun Avenue 6,Yishun Avenue 6,376.03307320699,1.2,0,
289 YISHUN AVENUE 6,12535,HDB,,0,,,L99,D27,760289,Yishun Avenue 6,Yishun Avenue 6,355.09197324414,1.29,0,
290 YISHUN STREET 22,12824,HDB,,0,,,L99,D27,760290,Yishun Street 22,Yishun Street 22,0,0.73,0,
291 YISHUN STREET 22,12825,HDB,,0,,,L99,D27,760291,Yishun Street 22,Yishun Street 22,313.78205128205,0.73,0,
292 YISHUN STREET 22,12826,HDB,,0,,,L99,D27,760292,Yishun Street 22,Yishun Street 22,339.72500929023,0.87,0,
293 YISHUN STREET 22,12827,HDB,,0,,,L99,D27,760293,Yishun Street 22,Yishun Street 22,359.07004830918,0.82,0,
294 YISHUN STREET 22,12828,HDB,,0,,,L99,D27,760294,Yishun Street 22,Yishun Street 22,0,0.79,0,
296 YISHUN STREET 20,12760,HDB,,0,,,L99,D27,760296,Yishun Street 20,Yishun Street 20,485.15607580825,0.65,0,
297 YISHUN STREET 20,12761,HDB,,0,,,L99,D27,760297,Yishun Street 20,Yishun Street 20,415.96804162022,0.7,0,
298 YISHUN STREET 20,12762,HDB,,0,,,L99,D27,760298,Yishun Street 20,Yishun Street 20,410.10869565217,0.72,0,
299 YISHUN STREET 20,12763,HDB,,0,,,L99,D27,760299,Yishun Street 20,Yishun Street 20,435.19726247987,0.78,0,
302 YISHUN CENTRAL,12568,HDB,,0,,,L99,D27,760302,Yishun Central,Yishun Central,352.68487551096,0.51,0,
242 YISHUN RING ROAD,12626,HDB,,0,,,L99,D27,760242,Yishun Ring Road,Yishun Ring Road,442.32580824972,0.64,0,
250 YISHUN AVENUE 9,12567,HDB,,0,,,L99,D27,760250,Yishun Avenue 9,Yishun Avenue 9,402.57617985879,0.97,0,
249 YISHUN AVENUE 9,12566,HDB,,0,,,L99,D27,760249,Yishun Avenue 9,Yishun Avenue 9,389.30509104422,1,0,
248 YISHUN AVENUE 9,12565,HDB,,0,,,L99,D27,760248,Yishun Avenue 9,Yishun Avenue 9,315.24154589372,1.05,0,
247 YISHUN AVENUE 9,12564,HDB,,0,,,L99,D27,760247,Yishun Avenue 9,Yishun Avenue 9,346.49665551839,1,0,
246 YISHUN AVENUE 9,12563,HDB,,0,,,L99,D27,760246,Yishun Avenue 9,Yishun Avenue 9,381.56261612783,1.05,0,
245 YISHUN AVENUE 9,12562,HDB,,0,,,L99,D27,760245,Yishun Avenue 9,Yishun Avenue 9,380.45707915273,0.94,0,
244 YISHUN RING ROAD,12628,HDB,,0,,,L99,D27,760244,Yishun Ring Road,Yishun Ring Road,365.41527313266,0.84,0,
243 YISHUN RING ROAD,12627,HDB,,0,,,L99,D27,760243,Yishun Ring Road,Yishun Ring Road,428.22185061315,0.75,0,
251 YISHUN RING ROAD,12629,HDB,,0,,,L99,D27,760251,Yishun Ring Road,Yishun Ring Road,364.97305834262,0.91,0,
241 YISHUN RING ROAD,12625,HDB,,0,,,L99,D27,760241,Yishun Ring Road,Yishun Ring Road,436.77907840951,0.56,0,
240 YISHUN RING ROAD,12624,HDB,,0,,,L99,D27,760240,Yishun Ring Road,Yishun Ring Road,310.95410628019,0.59,0,
239 YISHUN RING ROAD,12623,HDB,,0,,,L99,D27,760239,Yishun Ring Road,Yishun Ring Road,447.87253808993,0.68,0,
238 YISHUN RING ROAD,12622,HDB,,0,,,L99,D27,760238,Yishun Ring Road,Yishun Ring Road,353.17075436641,0.63,0,
237 YISHUN RING ROAD,12621,HDB,,0,,,L99,D27,760237,Yishun Ring Road,Yishun Ring Road,401.57748049052,0.62,0,
236 YISHUN RING ROAD,12620,HDB,,0,,,L99,D27,760236,Yishun Ring Road,Yishun Ring Road,436.77907840951,0.67,0,
235 YISHUN STREET 21,12799,HDB,,0,,,L99,D27,760235,Yishun Street 21,Yishun Street 21,344.77053140097,0.67,0,
303 YISHUN CENTRAL,12569,HDB,,0,,,L99,D27,760303,Yishun Central,Yishun Central,406.76142697882,0.57,0,
252 YISHUN RING ROAD,12630,HDB,,0,,,L99,D27,760252,Yishun Ring Road,Yishun Ring Road,258.79877369008,0.88,0,
